confidance threshold = 0.3,,,,,,,,,
dnevna,,,,,,,,,
frames, distance, angle, TP , FN , FP,recall,precision,F1,
129,4,90,0,129,1,0,0,0,0
129,3,90,69,60,0,0.534883721,1,0.696969697,177.7272727
129,2,90,129,0,0,1,1,1,255
129,1,90,129,0,0,1,1,1,255
107,4,75,0,107,26,0,0,0,0
107,3,75,28,79,82,0.261682243,0.254545455,0.258064516,65.80645161
107,2,75,107,0,92,1,0.537688442,0.699346405,178.3333333
107,1,75,107,0,14,1,0.884297521,0.938596491,239.3421053
112,4,60,0,112,14,0,0,0,0
112,3,60,40,72,69,0.357142857,0.366972477,0.36199095,92.30769231
112,2,60,112,0,45,1,0.713375796,0.832713755,212.3420074
112,1,60,112,0,0,1,1,1,255
135,4,45,0,135,0,0,0,0,0
135,3,45,16,119,4,0.118518519,0.8,0.206451613,52.64516129
135,2,45,133,2,0,0.985185185,1,0.992537313,253.0970149
135,1,45,135,0,0,1,1,1,255
132,4,30,0,132,24,0,0,0,0
132,3,30,0,132,10,0,0,0,0
132,2,30,52,80,0,0.393939394,1,0.565217391,144.1304348
132,1,30,130,2,0,0.984848485,1,0.992366412,253.0534351
,,,,,,,,,
temna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
127,4,30,0,127,0,0,0,0,0
127,3,30,0,127,0,0,0,0,0
127,2,30,0,127,0,0,0,0,0
127,1,30,0,127,0,0,0,0,0
142,4,45,0,142,0,0,0,0,0
142,3,45,0,142,0,0,0,0,0
142,2,45,0,142,1,0,0,0,0
142,1,45,88,54,6,0.61971831,0.936170213,0.745762712,190.1694915
164,4,60,0,164,0,0,0,0,0
164,3,60,0,164,0,0,0,0,0
164,2,60,4,160,13,0.024390244,0.235294118,0.044198895,11.27071823
164,1,60,147,17,0,0.896341463,1,0.945337621,241.0610932
157,4,75,0,157,2,0,0,0,0
157,3,75,0,157,0,0,0,0,0
157,2,75,26,131,0,0.165605096,1,0.284153005,72.45901639
157,1,75,137,20,0,0.872611465,1,0.931972789,237.6530612
142,4,90,0,142,0,0,0,0,0
142,3,90,0,142,0,0,0,0,0
142,2,90,49,93,0,0.345070423,1,0.513089005,130.8376963
142,1,90,141,1,0,0.992957746,1,0.996466431,254.0989399
,,,,,,,,,
,,,,,,,,,
umetna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
113,4,90,0,113,1,0,0,0,0
113,3,90,10,103,1,0.088495575,0.909090909,0.161290323,41.12903226
113,2,90,113,0,0,1,1,1,255
113,1,90,113,0,0,1,1,1,255
97,4,75,0,97,0,0,0,0,0
97,3,75,45,52,21,0.463917526,0.681818182,0.552147239,140.797546
97,2,75,97,0,8,1,0.923809524,0.96039604,244.9009901
97,1,75,97,0,0,1,1,1,255
101,4,60,0,101,0,0,0,0,0
101,3,60,40,61,1,0.396039604,0.975609756,0.563380282,143.6619718
101,2,60,101,0,0,1,1,1,255
101,1,60,101,0,0,1,1,1,255
122,4,45,0,122,0,0,0,0,0
122,3,45,5,117,3,0.040983607,0.625,0.076923077,19.61538462
122,2,45,122,0,0,1,1,1,255
122,1,45,122,0,0,1,1,1,255
90,4,30,0,90,0,0,0,0,0
90,3,30,0,90,0,0,0,0,0
90,2,30,24,66,8,0.266666667,0.75,0.393442623,100.3278689
90,1,30,89,1,0,0.988888889,1,0.994413408,253.575419
,,,,,,,,,
umetna tresljaj,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
94,4,90,0,94,0,0,0,0,0
94,3,90,2,92,0,0.021276596,1,0.041666667,10.625
94,2,90,91,3,1,0.968085106,0.989130435,0.978494624,249.516129
94,1,90,94,0,0,1,1,1,255
