,face_detection_video.py ,,,,,,,,
,dnevna,,,,,,,,
frames,distance,angle,TP , FN , FP,recall,precision,F1,
129,4,90,129,0,141,1,0.477777778,0.646616541,164.887218
129,3,90,129,0,52,1,0.712707182,0.832258065,212.2258065
129,2,90,129,0,26,1,0.832258065,0.908450704,231.6549296
129,1,90,129,0,32,1,0.801242236,0.889655172,226.862069
107,4,75,107,0,210,1,0.337539432,0.504716981,128.7028302
107,3,75,107,0,51,1,0.67721519,0.80754717,205.9245283
107,2,75,107,0,70,1,0.604519774,0.753521127,192.1478873
107,1,75,107,0,16,1,0.869918699,0.930434783,237.2608696
112,4,60,112,0,160,1,0.411764706,0.583333333,148.75
112,3,60,112,0,124,1,0.474576271,0.643678161,164.137931
112,2,60,112,0,17,1,0.868217054,0.929460581,237.0124481
112,1,60,112,0,21,1,0.842105263,0.914285714,233.1428571
135,4,45,135,0,193,1,0.411585366,0.583153348,148.7041037
135,3,45,135,0,54,1,0.714285714,0.833333333,212.5
135,2,45,135,0,1,1,0.992647059,0.996309963,254.0590406
135,1,45,135,0,0,1,1,1,255
132,4,30,130,2,84,0.984848485,0.607476636,0.751445087,191.6184971
132,3,30,132,0,64,1,0.673469388,0.804878049,205.2439024
132,2,30,132,0,26,1,0.835443038,0.910344828,232.137931
132,1,30,132,0,6,1,0.956521739,0.977777778,249.3333333
,,,,,,,,,
temna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
127,4,30,0,127,111,0,0,0,0
127,3,30,0,127,180,0,0,0,0
127,2,30,15,112,337,0.118110236,0.042613636,0.06263048,15.97077244
127,1,30,100,27,217,0.787401575,0.315457413,0.45045045,114.8648649
142,4,45,142,0,61,1,0.699507389,0.823188406,209.9130435
142,3,45,142,0,3,1,0.979310345,0.989547038,252.3344948
142,2,45,142,0,15,1,0.904458599,0.949832776,242.2073579
142,1,45,142,0,7,1,0.953020134,0.975945017,248.8659794
164,4,60,164,0,5,1,0.970414201,0.984984985,251.1711712
164,3,60,164,0,0,1,1,1,255
164,2,60,164,0,1,1,0.993939394,0.996960486,254.224924
164,1,60,164,0,5,1,0.970414201,0.984984985,251.1711712
157,4,75,157,0,24,1,0.867403315,0.928994083,236.8934911
157,3,75,157,0,58,1,0.730232558,0.844086022,215.2419355
157,2,75,157,0,1,1,0.993670886,0.996825397,254.1904762
157,1,75,157,0,15,1,0.912790698,0.954407295,243.3738602
142,4,90,142,0,54,1,0.724489796,0.840236686,214.260355
142,3,90,142,0,31,1,0.820809249,0.901587302,229.9047619
142,2,90,142,0,68,1,0.676190476,0.806818182,205.7386364
142,1,90,142,0,4,1,0.97260274,0.986111111,251.4583333
,,,,,,,,,
umetna,,,,,,,,,
frames,distance,angle,TP , FN , FP,,,,
113,4,90,113,0,70,1,0.617486339,0.763513514,194.6959459
113,3,90,113,0,112,1,0.502222222,0.668639053,170.5029586
113,2,90,113,0,27,1,0.807142857,0.893280632,227.7865613
113,1,90,113,0,14,1,0.88976378,0.941666667,240.125
97,4,75,97,0,66,1,0.595092025,0.746153846,190.2692308
97,3,75,97,0,35,1,0.734848485,0.847161572,216.0262009
97,2,75,97,0,13,1,0.881818182,0.937198068,238.9855072
97,1,75,97,0,3,1,0.97,0.984771574,251.1167513
101,4,60,101,0,99,1,0.505,0.671096346,171.1295681
101,3,60,101,0,76,1,0.570621469,0.726618705,185.2877698
101,2,60,101,0,29,1,0.776923077,0.874458874,222.987013
101,1,60,101,0,10,1,0.90990991,0.952830189,242.9716981
122,4,45,122,0,144,1,0.458646617,0.628865979,160.3608247
122,3,45,122,0,83,1,0.595121951,0.74617737,190.2752294
122,2,45,122,0,37,1,0.767295597,0.868327402,221.4234875
122,1,45,122,0,1,1,0.991869919,0.995918367,253.9591837
90,4,30,90,0,132,1,0.405405405,0.576923077,147.1153846
90,3,30,90,0,125,1,0.418604651,0.590163934,150.4918033
90,2,30,90,0,32,1,0.737704918,0.849056604,216.509434
90,1,30,90,0,0,1,1,1,255
,,,,,,,,,
Umetna tresljaj,,,,,,,,,
frames,distance,angle,TP , FN , FP,,,,
94,4,90,94,0,51,1,0.648275862,0.786610879,200.5857741
94,3,90,94,0,139,1,0.403433476,0.574923547,146.6055046
94,2,90,94,0,32,1,0.746031746,0.854545455,217.9090909
94,1,90,94,0,8,1,0.921568627,0.959183673,244.5918367
